id	parent	user	user_role	time	last_time	text	reply_count	is_deleted	deleted_by	deleted_at	can_edit	can_moderate	can_delete	actions	target	replies	subscriptions	is_pinned	pinned_by	pinned_at	is_staff_replied	is_reported	attachments	thread	submission	edited_by	edited_at	epic_count	abuse_count	vote	translations
1182570	None	134055452	student	2019-09-22T16:52:12Z	2019-09-22T16:52:12Z	<p>ЮФУ, ИФЖИМКК, разрываюсь между несколькими темами</p>	0	False	None	None	False	False	False	{'vote': True}	412995	[]	['31-31-1182570']	False	None	None	False	False	[]	default	None	None	None	0	0	31-1182570	{}
1182573	None	134055452	student	2019-09-22T16:53:49Z	2019-09-22T16:53:49Z	<p>Правила принимаю</p>	0	False	None	None	False	False	False	{'vote': True}	331615	[]	['31-31-1182573']	False	None	None	False	False	[]	default	None	None	None	0	0	31-1182573	{}
1182649	None	88349856	student	2019-09-22T17:45:44Z	2019-09-22T17:45:44Z	"<p>ДГТУ, ИиВТ, 3 курс, ""Исследование  методов работы со спекл-шумами для повышения качества изображений""</p>"	0	False	None	None	False	False	False	{'vote': True}	412995	[]	['31-31-1182649']	False	None	None	False	False	[]	default	None	None	None	0	0	31-1182649	{}
1183261	None	130670943	student	2019-09-23T08:31:52Z	2019-09-23T08:31:52Z	"<p>ЮФУ, ФФЖ, магистратура 1 курс. Тема: ""трудности перевода патентных документов""  </p>"	0	False	None	None	False	False	False	{'vote': True}	412995	[]	['31-31-1183261']	False	None	None	False	False	[]	default	None	None	None	0	0	31-1183261	{}
1184883	None	82790342	student	2019-09-24T09:00:42Z	2019-09-24T09:00:42Z	<p>НИУ МГСУ, 3 курс бак. С темой еще не определился</p>	0	False	None	None	False	False	False	{'vote': True}	412995	[]	['31-31-1184883']	False	None	None	False	False	[]	default	None	None	None	0	0	31-1184883	{}
1185023	880656	33133393	student	2019-09-24T10:17:49Z	2019-09-24T10:17:49Z	<p><strong>@Юлия_Граничная</strong>, у гуманитариев с написанием статей и так всё хорошо. Им природой дано, что ли....</p>	0	False	None	None	False	False	False	{'vote': True}	412994	[]	['31-31-880656']	False	None	None	False	False	[]	default	None	None	None	0	0	31-1185023	{}
1186925	None	134836539	student	2019-09-25T12:22:46Z	2019-09-25T12:22:46Z	"<p>РЭУ им Г.В.Плеханова, ""Моделирование экономического процесса""</p>"	0	False	None	None	False	False	False	{'vote': True}	412995	[]	['31-31-1186925']	False	None	None	False	False	[]	default	None	None	None	0	0	31-1186925	{}
1189651	None	134658702	student	2019-09-26T20:45:59Z	2019-09-26T20:45:59Z	ВолГАУ 4 курс. Экономическая эффективность применения премиксов в кормлении с/х птицы.	0	False	None	None	False	False	False	{'vote': True}	412995	[]	['31-31-1189651']	False	None	None	False	False	[]	default	None	None	None	0	0	31-1189651	{}
1190820	None	132977964	student	2019-09-27T16:12:16Z	2019-09-27T16:12:16Z	<p>рачлагдоидо</p>	0	False	None	None	False	False	False	{'vote': True}	412995	[]	['31-31-1190820']	False	None	None	False	False	[]	default	None	None	None	0	0	31-1190820	{}
1190824	None	132977964	student	2019-09-27T16:13:59Z	2019-09-27T16:13:59Z	<p>спасибо</p>	0	False	None	None	False	False	False	{'vote': True}	418229	[]	['31-31-1190824']	False	None	None	False	False	[]	default	None	None	None	0	0	31-1190824	{}
